creation_date,n
2011-07-31 00:00:00+00:00,17
2011-08-31 00:00:00+00:00,33
2011-09-30 00:00:00+00:00,76
2011-10-31 00:00:00+00:00,157
2011-11-30 00:00:00+00:00,0
2011-12-31 00:00:00+00:00,0
2012-01-31 00:00:00+00:00,1
2012-02-29 00:00:00+00:00,4
2012-03-31 00:00:00+00:00,1
2012-04-30 00:00:00+00:00,0
2012-05-31 00:00:00+00:00,0
2012-06-30 00:00:00+00:00,9
2012-07-31 00:00:00+00:00,0
2012-08-31 00:00:00+00:00,2
2012-09-30 00:00:00+00:00,2
2012-10-31 00:00:00+00:00,2
2012-11-30 00:00:00+00:00,0
2012-12-31 00:00:00+00:00,0
2013-01-31 00:00:00+00:00,47
2013-02-28 00:00:00+00:00,94
2013-03-31 00:00:00+00:00,47
2013-04-30 00:00:00+00:00,40
2013-05-31 00:00:00+00:00,13
2013-06-30 00:00:00+00:00,0
2013-07-31 00:00:00+00:00,13
2013-08-31 00:00:00+00:00,6
2013-09-30 00:00:00+00:00,17
2013-10-31 00:00:00+00:00,1
2013-11-30 00:00:00+00:00,29
2013-12-31 00:00:00+00:00,1
2014-01-31 00:00:00+00:00,3
2014-02-28 00:00:00+00:00,5
2014-03-31 00:00:00+00:00,24
2014-04-30 00:00:00+00:00,18
2014-05-31 00:00:00+00:00,7
2014-06-30 00:00:00+00:00,37
2014-07-31 00:00:00+00:00,8
2014-08-31 00:00:00+00:00,4
2014-09-30 00:00:00+00:00,4
2014-10-31 00:00:00+00:00,27
2014-11-30 00:00:00+00:00,32
2014-12-31 00:00:00+00:00,1
2015-01-31 00:00:00+00:00,2
2015-02-28 00:00:00+00:00,21
2015-03-31 00:00:00+00:00,15
2015-04-30 00:00:00+00:00,12
2015-05-31 00:00:00+00:00,7
2015-06-30 00:00:00+00:00,13
2015-07-31 00:00:00+00:00,20
2015-08-31 00:00:00+00:00,15
2015-09-30 00:00:00+00:00,8
2015-10-31 00:00:00+00:00,18
2015-11-30 00:00:00+00:00,14
2015-12-31 00:00:00+00:00,19
2016-01-31 00:00:00+00:00,15
2016-02-29 00:00:00+00:00,8
2016-03-31 00:00:00+00:00,41
2016-04-30 00:00:00+00:00,20
2016-05-31 00:00:00+00:00,23
2016-06-30 00:00:00+00:00,26
2016-07-31 00:00:00+00:00,22
2016-08-31 00:00:00+00:00,9
2016-09-30 00:00:00+00:00,17
2016-10-31 00:00:00+00:00,12
2016-11-30 00:00:00+00:00,22
2016-12-31 00:00:00+00:00,12
2017-01-31 00:00:00+00:00,5
2017-02-28 00:00:00+00:00,5
2017-03-31 00:00:00+00:00,15
2017-04-30 00:00:00+00:00,10
2017-05-31 00:00:00+00:00,12
2017-06-30 00:00:00+00:00,10
2017-07-31 00:00:00+00:00,18
2017-08-31 00:00:00+00:00,117
2017-09-30 00:00:00+00:00,84
2017-10-31 00:00:00+00:00,9
2017-11-30 00:00:00+00:00,84
2017-12-31 00:00:00+00:00,34
2018-01-31 00:00:00+00:00,24
2018-02-28 00:00:00+00:00,42
2018-03-31 00:00:00+00:00,74
2018-04-30 00:00:00+00:00,33
2018-05-31 00:00:00+00:00,67
2018-06-30 00:00:00+00:00,25
2018-07-31 00:00:00+00:00,25
2018-08-31 00:00:00+00:00,18
2018-09-30 00:00:00+00:00,20
2018-10-31 00:00:00+00:00,59
2018-11-30 00:00:00+00:00,41
2018-12-31 00:00:00+00:00,68
2019-01-31 00:00:00+00:00,30
2019-02-28 00:00:00+00:00,28
2019-03-31 00:00:00+00:00,27
2019-04-30 00:00:00+00:00,169
2019-05-31 00:00:00+00:00,75
2019-06-30 00:00:00+00:00,57
2019-07-31 00:00:00+00:00,23
2019-08-31 00:00:00+00:00,13
2019-09-30 00:00:00+00:00,24
2019-10-31 00:00:00+00:00,39
2019-11-30 00:00:00+00:00,39
2019-12-31 00:00:00+00:00,49
2020-01-31 00:00:00+00:00,12
2020-02-29 00:00:00+00:00,16
2020-03-31 00:00:00+00:00,14
2020-04-30 00:00:00+00:00,12
2020-05-31 00:00:00+00:00,15
2020-06-30 00:00:00+00:00,7
2020-07-31 00:00:00+00:00,45
2020-08-31 00:00:00+00:00,15
2020-09-30 00:00:00+00:00,31
2020-10-31 00:00:00+00:00,41
2020-11-30 00:00:00+00:00,54
2020-12-31 00:00:00+00:00,87
2021-01-31 00:00:00+00:00,49
2021-02-28 00:00:00+00:00,40
2021-03-31 00:00:00+00:00,36
2021-04-30 00:00:00+00:00,13
2021-05-31 00:00:00+00:00,19
2021-06-30 00:00:00+00:00,27
2021-07-31 00:00:00+00:00,39
2021-08-31 00:00:00+00:00,10
2021-09-30 00:00:00+00:00,41
2021-10-31 00:00:00+00:00,26
2021-11-30 00:00:00+00:00,32
2021-12-31 00:00:00+00:00,18
2022-01-31 00:00:00+00:00,4
2022-02-28 00:00:00+00:00,19
